Product Name,Unit Size,Unit Size,Unit Size,Unit Size,SKU,NPK,Cateogry,Type,Uses,Plant Type,Specific Plants,Dilution Rate,Rate Min mL / 100L,Rate Max mL / 100L,Rate Min g / plant,Rate Max  g / plant,Rate Min Rate g / L,Rate Max g / L,Rate Min g / m²,Rate Max g / m²,Rate g / 100 m²,Rate  Min kg / m³,Rate  Max kg / m³,Rate  Min kg / 100 m²,Rate  Max kg / 100 m²,Rate Min mL / 100 m²,Rate Max mL / 100 m²,Rate min kg  / Ha,Rate max kg / Ha,Rate min L / Ha,Rate max L / Ha, Watering Can Standard Min mL / 8L ,Watering Can Standard Max mL / 8L ,Watering Can Standard min mL / 9L ,Watering Can Standard max mL / 9L ,Watering Can Standard Min mL / 10L ,Watering Can Standard Max mL / 10L ,Watering Can Standard g / 10L ,Frequency,Buy now,Notes,Dilution Guide
"Flowers, Fruits & Roots Granular Fertiliser",1kg,4.5kg,20kg,,575,8/2/20,Fertiliser,Granular,"Gardens (flowers & fruit), trees, shrubs, ornamentals, edible plants, farms/permaculture; not intended for turf/lawns",Shrubs,Medium Shrub,,,,40g,,,,,,,,,,,,,,,,,,,,,,,,Once at planting or when growth/fruiting requires feeding; slow‑release over ~4–6 months.,https://www.plantdoctor.com.au/flowers-fruits-roots-granular-fertiliser-8-2-20-np,"Application rates vary significantly with plant type; product is designed to support flowering, fruiting and root strength and is not intended for lawn nutrition (other products like MaxGreen or Lawn‑specific fertilisers are recommended for turf). Use caution with phosphorus‑sensitive natives — trial small areas first.",Not a liquid product — broadcast or incorporate into soil/around root zone; lightly water in after application.
"Flowers, Fruits & Roots Granular Fertiliser",1kg,4.5kg,20kg,,575,8/2/20,Fertiliser,Granular,"Gardens (flowers & fruit), trees, shrubs, ornamentals, edible plants, farms/permaculture; not intended for turf/lawns",Trees,Tall Trees,,,,60g,,,,,,,,,,,,,,,,,,,,,,,,Once at planting or when growth/fruiting requires feeding; slow‑release over ~4–6 months.,https://www.plantdoctor.com.au/flowers-fruits-roots-granular-fertiliser-8-2-20-np,"Application rates vary significantly with plant type; product is designed to support flowering, fruiting and root strength and is not intended for lawn nutrition (other products like MaxGreen or Lawn‑specific fertilisers are recommended for turf). Use caution with phosphorus‑sensitive natives — trial small areas first.",Not a liquid product — broadcast or incorporate into soil/around root zone; lightly water in after application.
"Flowers, Fruits & Roots Granular Fertiliser",1kg,4.5kg,20kg,,575,8/2/20,Fertiliser,Granular,"Gardens (flowers & fruit), trees, shrubs, ornamentals, edible plants, farms/permaculture; not intended for turf/lawns",Trees,Fruit Trees (2nd Year),,,,20 - 40g,,,,,,,,,,,,,,,,,,,,,,,,Once at planting or when growth/fruiting requires feeding; slow‑release over ~4–6 months.,https://www.plantdoctor.com.au/flowers-fruits-roots-granular-fertiliser-8-2-20-np,"Application rates vary significantly with plant type; product is designed to support flowering, fruiting and root strength and is not intended for lawn nutrition (other products like MaxGreen or Lawn‑specific fertilisers are recommended for turf). Use caution with phosphorus‑sensitive natives — trial small areas first.",Not a liquid product — broadcast or incorporate into soil/around root zone; lightly water in after application.
Lawn Envy,,4L,10L,,LEN,16-1-5,Fertiliser,Liquid Concentrate,"Lawns, gardens, trees, indoor plants, farms",Grass,"Buffalo, Couch, Kikuyu, Zoysia",1:2,,,,,,,,,,,,,,500mL,1000mL,,,50L,100L,,,,,,,,"Apply every ~4 weeks under active growth. When alternating with complementary products (e.g., MaxGreen), offset applications by ~2 weeks.",https://www.plantdoctor.com.au/lawn-envy,Use 1 L concentrate + water to make ~2 L ready‑to‑use. A 4L refill to provide 8 treatments based on a 50/50 mix with water for each refill.,Ready‑to‑use mode: No dilution required — attach bottle to hose and spray evenly. Concentrate mode: Use 1 L concentrate + water to make ~2 L ready‑to‑use (effectively doubling coverage per litre of concentrate).
Lawn Envy 2L Hose on,2L,,,,LEN,8/1/03,Fertiliser,Liquid,"Lawns, gardens, trees, indoor plants, farms and larger turf/fodder areas (when applied via hose, sprayer or fertigation).",Grass,"Buffalo, Couch, Kikuyu, Zoysia",N/A,,,,,,,,,,,,,,1000mL,2000mL,,,100L,200L,,,,,,,,"Apply every ~4 weeks under active growth. When alternating with complementary products (e.g., MaxGreen), offset applications by ~2 weeks.",https://www.plantdoctor.com.au/lawn-envy,"Ready‑to‑use coverage: 2 L bottle ≈ 200 m²
Concentrate refills provide up to ~8 applications in a 2 L bottle when diluted 1:1 with water.
Compatible with EZFLO fertigation systems for larger or irregular areas.
Pre‑mixed formula combines nutrients, wetting agents, organic stimulants and trace elements; excellent for overall plant and soil health beyond turf.",Ready‑to‑use mode: No dilution required — attach bottle to hose and spray evenly. Concentrate mode: Use 1 L concentrate + water to make ~2 L ready‑to‑use (effectively doubling coverage per litre of concentrate).
"Liquid Iron Fertiliser - 7% Iron, 3% Sulphur",1L,4L,10L,,LIR,,Fertiliser,Liquid,"Lawns (all turf types), gardens, ornamentals, vegetables, fruit & nut trees, vines, broadacre crops",Grass,"Buffalo, Couch, Kikuyu, Zoysia",1:50,,,,,,,,,,,,,,150mL,400mL,,,1.5L,4L,,,10mL,25mL,,,,"Lawns: every ~4 weeks during growing season or as needed
Vegetables: every ~2 weeks or as required
Ornamentals: ~every 4 weeks during active growth
Trees/Fruits/Nuts/Vines: every ~6–8 weeks or as needed",https://www.plantdoctor.com.au/plant-doctor-7-iron-3-sulphur-liquid-fertiliser,"Corrects iron chlorosis (yellowing due to iron deficiency) and boosts green colour.
Can be used as foliar spray or soil drench.
Iron should be applied separately from other fertilisers to avoid reactions; compatible with some humic products but test before mixing.
Iron application may stain paths/clothes; apply in calm conditions.","Minimum dilution 1:50 (product : water). Apply via foliar spray, soil drench, or through fertigation. Agronomic practice is to mix into enough water to ensure even coverage; avoid mixing with other products except compatible ones and always do a jar test first."
"Liquid Iron Fertiliser - 7% Iron, 3% Sulphur",1L,4L,10L,,LIR,,Fertiliser,Liquid,"Lawns (all turf types), gardens, ornamentals, vegetables, fruit & nut trees, vines, broadacre crops",Bedding Plants,Ornamental Plants,1:50,,,,,,,,,,,,,,,,,,,,,,,,10mL,25mL,,Every 4 weeks during growing season or as required,https://www.plantdoctor.com.au/plant-doctor-7-iron-3-sulphur-liquid-fertiliser,"Corrects iron chlorosis (yellowing due to iron deficiency) and boosts green colour.
Can be used as foliar spray or soil drench.
Iron should be applied separately from other fertilisers to avoid reactions; compatible with some humic products but test before mixing.
Iron application may stain paths/clothes; apply in calm conditions.","Minimum dilution 1:50 (product : water). Apply via foliar spray, soil drench, or through fertigation. Agronomic practice is to mix into enough water to ensure even coverage; avoid mixing with other products except compatible ones and always do a jar test first."
"Liquid Iron Fertiliser - 7% Iron, 3% Sulphur",1L,4L,10L,,LIR,,Fertiliser,Liquid,"Lawns (all turf types), gardens, ornamentals, vegetables, fruit & nut trees, vines, broadacre crops",Bedding Plants,Vegetables,1:50,,,,,,,,,,,,,,150mL,300mL,,,1.5L,3L,,,,,,,,Fortnightly or as required,https://www.plantdoctor.com.au/plant-doctor-7-iron-3-sulphur-liquid-fertiliser,"Corrects iron chlorosis (yellowing due to iron deficiency) and boosts green colour.
Can be used as foliar spray or soil drench.
Iron should be applied separately from other fertilisers to avoid reactions; compatible with some humic products but test before mixing.
Iron application may stain paths/clothes; apply in calm conditions.","Minimum dilution 1:50 (product : water). Apply via foliar spray, soil drench, or through fertigation. Agronomic practice is to mix into enough water to ensure even coverage; avoid mixing with other products except compatible ones and always do a jar test first."
"Liquid Iron Fertiliser - 7% Iron, 3% Sulphur",1L,4L,10L,,LIR,,Fertiliser,Liquid,"Lawns (all turf types), gardens, ornamentals, vegetables, fruit & nut trees, vines, broadacre crops","Trees, Fruits, Nuts & Grapevines",Bedding,1:50,,,,,,,,,,,,,,150mL,300mL,,,1.5L,3L,,,,,,,,Every 6–8 weeks or as required,https://www.plantdoctor.com.au/plant-doctor-7-iron-3-sulphur-liquid-fertiliser,"Corrects iron chlorosis (yellowing due to iron deficiency) and boosts green colour.
Can be used as foliar spray or soil drench.
Iron should be applied separately from other fertilisers to avoid reactions; compatible with some humic products but test before mixing.
Iron application may stain paths/clothes; apply in calm conditions.","Minimum dilution 1:50 (product : water). Apply via foliar spray, soil drench, or through fertigation. Agronomic practice is to mix into enough water to ensure even coverage; avoid mixing with other products except compatible ones and always do a jar test first."
"Liquid Iron Fertiliser - 7% Iron, 3% Sulphur",1L,4L,10L,,LIR,,Fertiliser,Liquid,"Lawns (all turf types), gardens, ornamentals, vegetables, fruit & nut trees, vines, broadacre crops",Broadacre Crops,Bedding,1:50,,,,,,,,,,,,,,,,,,3L,8L,,,,,,,,As required within crop program,https://www.plantdoctor.com.au/plant-doctor-7-iron-3-sulphur-liquid-fertiliser,"Corrects iron chlorosis (yellowing due to iron deficiency) and boosts green colour.
Can be used as foliar spray or soil drench.
Iron should be applied separately from other fertilisers to avoid reactions; compatible with some humic products but test before mixing.
Iron application may stain paths/clothes; apply in calm conditions.","Minimum dilution 1:50 (product : water). Apply via foliar spray, soil drench, or through fertigation. Agronomic practice is to mix into enough water to ensure even coverage; avoid mixing with other products except compatible ones and always do a jar test first."
"Flowers, Fruits & Roots Liquid Fertiliser",1L,4L,10L,,721,9/7/19,Fertiliser,Liquid,"Gardens (flowers & fruit), trees, shrubs, ornamentals, edible plants, farms/permaculture; not intended for turf/lawns",Bedding Plants,Ornamental Plants,,,,,,,,,,,,,,,,,,,,,10mL,20mL,,,,,,Apply every 4 weeks or as required,https://www.plantdoctor.com.au/flowers-fruits-and-roots-liquid-fertiliser,"	Excellent for flowering garden beds, ornamentals & container plants.",Dilute in water sufficiently to spray foliage/soil evenly across area
"Flowers, Fruits & Roots Liquid Fertiliser",1L,4L,10L,,721,9/7/19,Fertiliser,Liquid,"Gardens (flowers & fruit), trees, shrubs, ornamentals, edible plants, farms/permaculture; not intended for turf/lawns",Bedding Plants,Vegetables,,,,,,,,,,,,,,,100mL,250mL,,,,,10mL,20mL,,,,,,Apply fortnightly or as required,https://www.plantdoctor.com.au/flowers-fruits-and-roots-liquid-fertiliser,Use throughout active vegetable growth for bloom and fruit set.,Dilute in water sufficiently to spray foliage/soil evenly across area
"Flowers, Fruits & Roots Liquid Fertiliser",1L,4L,10L,,721,9/7/19,Fertiliser,Liquid,"Gardens (flowers & fruit), trees, shrubs, ornamentals, edible plants, farms/permaculture; not intended for turf/lawns","Trees, Fruits, Nuts & Grapevines",General,,,,,,,,,,,,,,,100mL,170mL,,,10L,17L,,,,,,,,	Apply every 6-8 weeks or as required.,https://www.plantdoctor.com.au/flowers-fruits-and-roots-liquid-fertiliser,Supports flowering and fruit set on larger plants and orchard crops.,Dilute in water sufficiently to spray foliage/soil evenly across area
"Flowers, Fruits & Roots Liquid Fertiliser",1L,4L,10L,,721,9/7/19,Fertiliser,Liquid,"Gardens (flowers & fruit), trees, shrubs, ornamentals, edible plants, farms/permaculture; not intended for turf/lawns",Broadacre Crops,General,,,,,,,,,,,,,,,,,,,8L,20L,,,,,,,,Apply as required within normal crop program,https://www.plantdoctor.com.au/flowers-fruits-and-roots-liquid-fertiliser,"Designed for larger scale horticulture and broadacre use (e.g. orchards, vineyards).",Dilute in water sufficiently to spray foliage/soil evenly across area
"Flowers, Fruits & Roots Liquid Fertiliser",1L,4L,10L,,721,9/7/19,Fertiliser,Liquid,"Gardens (flowers & fruit), trees, shrubs, ornamentals, edible plants, farms/permaculture; not intended for turf/lawns",Grass,General,,,,,,,,,,,,,,,80mL,120mL,,,8L,12L,,,,,,,,Apply as required within normal crop program,https://www.plantdoctor.com.au/flowers-fruits-and-roots-liquid-fertiliser,"Designed for larger scale horticulture and broadacre use (e.g. orchards, vineyards).",Dilute in water sufficiently to spray foliage/soil evenly across area
"MaxGreen Hi-N & Iron Liquid Fertiliser - 16% Nitrogen, 5% Iron, 2% Sulphur",1L,2L,4L,10L,MG,,Fertiliser,Liquid,"Lawns (all turf types), gardens, ornamentals, vegetables, fruit & nut trees, vines, broadacre crops",Grass,"Buffalo, Couch, Kikuyu, Zoysia",,,,,,,,,,,,,,,140mL,400mL,,,14L,40L,,,,,,,,Monthly in growing season,https://www.plantdoctor.com.au/maxgreen-hi-n-iron-liquid-fertiliser-growth-plus-g,Corrects iron deficiency and supports green colour and growth in turf & ornamentals. Avoid mixing with incompatible products; add iron last after other liquids diluted.,Dilute into water and spray evenly across leaf/soil surface; lightly water in after application.
"MaxGreen Hi-N & Iron Liquid Fertiliser - 16% Nitrogen, 5% Iron, 2% Sulphur",1L,2L,4L,10L,MG,,Fertiliser,Liquid,"Lawns (all turf types), gardens, ornamentals, vegetables, fruit & nut trees, vines, broadacre crops",Bedding Plants,Vegetables,,,,,,,,,,,,,,,140mL,300mL,,,14L,30L,,,,,,,,Fortnightly or as required,https://www.plantdoctor.com.au/maxgreen-hi-n-iron-liquid-fertiliser-growth-plus-g,Use during active growth to support greener foliage and nutrient uptake; adjust frequency based on plant response.,Dilute into water and spray evenly across leaf/soil surface; lightly water in after application.
"MaxGreen Hi-N & Iron Liquid Fertiliser - 16% Nitrogen, 5% Iron, 2% Sulphur",1L,2L,4L,10L,MG,,Fertiliser,Liquid,"Lawns (all turf types), gardens, ornamentals, vegetables, fruit & nut trees, vines, broadacre crops","Trees, Fruits, Nuts & Grapevines",General,,,,,,,,,,,,,,,140mL,300mL,,,14L,30L,,,,,,,,Every 6–8 weeks or as required,https://www.plantdoctor.com.au/maxgreen-hi-n-iron-liquid-fertiliser-growth-plus-g,Iron helps correct chlorosis; nitrogen supports vigorous growth.,Dilute into water and spray evenly across leaf/soil surface; lightly water in after application.
"MaxGreen Hi-N & Iron Liquid Fertiliser - 16% Nitrogen, 5% Iron, 2% Sulphur",1L,2L,4L,10L,MG,,Fertiliser,Liquid,"Lawns (all turf types), gardens, ornamentals, vegetables, fruit & nut trees, vines, broadacre crops",Broadacre Crops,General,,,,,,,,,,,,,,,,,,,15L,40L,,,,,,,,Per nutrient program as required,https://www.plantdoctor.com.au/maxgreen-hi-n-iron-liquid-fertiliser-growth-plus-g,,Dilute into water and spray evenly across leaf/soil surface; lightly water in after application.
"Roots, Shoots & Leaves Granular Fertiliser",1kg,4.5kg,20kg,,1156,16-2-10,Fertiliser,Granular,"Lawns and turf, Garden beds, Bedding and flowering plants, Vegetables and edible gardens, Trees and shrubs, Container and pot plants, Potting mix base fertiliser",Grass,"Buffalo, Couch, Kikuyu, Zoysia",,,,,,,,,,,,,2kg,4kg,,,200kg,400kg,,,,,,,,,,"Apply every 2–3 months or as required (more in summer, less in winter)",https://www.plantdoctor.com.au/roots-shoots-leaves-granular-fertiliser-16-2-10-np,"Slow-release fertiliser feeding nitrogen, potassium and trace elements for sustained growth up to several months. Adjust based on turf vigour and soil conditions.",Spread evenly; water in lightly after application.
"Roots, Shoots & Leaves Granular Fertiliser",1kg,4.5kg,20kg,,1156,16-2-10,Fertiliser,Granular,"Lawns and turf, Garden beds, Bedding and flowering plants, Vegetables and edible gardens, Trees and shrubs, Container and pot plants, Potting mix base fertiliser",Potting Mix,General,,,,,,4g,,,,,,,,,,,,,,,,,,,,,,"Apply every 2–3 months or as required (more in summer, less in winter)",https://www.plantdoctor.com.au/roots-shoots-leaves-granular-fertiliser-16-2-10-np,Works as a slow-release base in potting mixes.,Spread evenly; water in lightly after application.
"Roots, Shoots & Leaves Granular Fertiliser",1kg,4.5kg,20kg,,1156,16-2-10,Fertiliser,Granular,"Lawns and turf, Garden beds, Bedding and flowering plants, Vegetables and edible gardens, Trees and shrubs, Container and pot plants, Potting mix base fertiliser",Bedding Plants,Begonia,,,,,,,,,,5.5kg,,,,,,,,,,,,,,,,,,"Apply every 2–3 months or as required (more in summer, less in winter)",https://www.plantdoctor.com.au/roots-shoots-leaves-granular-fertiliser-16-2-10-np,Higher rates recommended for dense flowers/foliage.,Spread evenly; water in lightly after application.
"Roots, Shoots & Leaves Granular Fertiliser",1kg,4.5kg,20kg,,1156,16-2-10,Fertiliser,Granular,"Lawns and turf, Garden beds, Bedding and flowering plants, Vegetables and edible gardens, Trees and shrubs, Container and pot plants, Potting mix base fertiliser",Trees,General,,,,100g,,,,,,,,,,,,,,,,,,,,,,,,"Apply every 2–3 months or as required (more in summer, less in winter)",https://www.plantdoctor.com.au/roots-shoots-leaves-granular-fertiliser-16-2-10-np,Different rates for small/medium/large shrubs and trees; adjust to canopy size.,Spread evenly; water in lightly after application.
"Roots, Shoots & Leaves Granular Fertiliser",1kg,4.5kg,20kg,,1156,16-2-10,Fertiliser,Granular,"Lawns and turf, Garden beds, Bedding and flowering plants, Vegetables and edible gardens, Trees and shrubs, Container and pot plants, Potting mix base fertiliser",Trees,Natives,,,,,,,,,,,1.5kg,3kg,,,,,,,,,,,,,,,,"Apply every 2–3 months or as required (more in summer, less in winter)",https://www.plantdoctor.com.au/roots-shoots-leaves-granular-fertiliser-16-2-10-np,Different rates for small/medium/large shrubs and trees; adjust to canopy size.,Spread evenly; water in lightly after application.
"Roots, Shoots & Leaves Granular Fertiliser",1kg,4.5kg,20kg,,1156,16-2-10,Fertiliser,Granular,"Lawns and turf, Garden beds, Bedding and flowering plants, Vegetables and edible gardens, Trees and shrubs, Container and pot plants, Potting mix base fertiliser",Trees,Foliage,,,,,,,,,,,2kg,4kg,,,,,,,,,,,,,,,,"Apply every 2–3 months or as required (more in summer, less in winter)",https://www.plantdoctor.com.au/roots-shoots-leaves-granular-fertiliser-16-2-10-np,Different rates for small/medium/large shrubs and trees; adjust to canopy size.,Spread evenly; water in lightly after application.
"Roots, Shoots & Leaves Granular Fertiliser",1kg,4.5kg,20kg,,1156,16-2-10,Fertiliser,Granular,"Lawns and turf, Garden beds, Bedding and flowering plants, Vegetables and edible gardens, Trees and shrubs, Container and pot plants, Potting mix base fertiliser",Trees,Flowers & Fruit,,,,,,,,,,,3kg,4kg,,,,,,,,,,,,,,,,"Apply every 2–3 months or as required (more in summer, less in winter)",https://www.plantdoctor.com.au/roots-shoots-leaves-granular-fertiliser-16-2-10-np,Different rates for small/medium/large shrubs and trees; adjust to canopy size.,Spread evenly; water in lightly after application.
"Roots, Shoots & Leaves Granular Fertiliser",1kg,4.5kg,20kg,,1156,16-2-10,Fertiliser,Granular,"Lawns and turf, Garden beds, Bedding and flowering plants, Vegetables and edible gardens, Trees and shrubs, Container and pot plants, Potting mix base fertiliser",Trees,Fruit Trees (2nd Year),,,,,,,,20,40,,,,,,,,,,,,,,,,,,,"Apply every 2–3 months or as required (more in summer, less in winter)",https://www.plantdoctor.com.au/roots-shoots-leaves-granular-fertiliser-16-2-10-np,Different rates for small/medium/large shrubs and trees; adjust to canopy size.,Spread evenly; water in lightly after application.
"Roots, Shoots & Leaves Granular Fertiliser",1kg,4.5kg,20kg,,1156,16-2-10,Fertiliser,Granular,"Lawns and turf, Garden beds, Bedding and flowering plants, Vegetables and edible gardens, Trees and shrubs, Container and pot plants, Potting mix base fertiliser",Shrubs,Small Shrub,,,,20g,,,,,,,,,,,,,,,,,,,,,,,,"Apply every 2–3 months or as required (more in summer, less in winter)",https://www.plantdoctor.com.au/roots-shoots-leaves-granular-fertiliser-16-2-10-np,Different rates for small/medium/large shrubs and trees; adjust to canopy size.,Spread evenly; water in lightly after application.
"Roots, Shoots & Leaves Granular Fertiliser",1kg,4.5kg,20kg,,1156,16-2-10,Fertiliser,Granular,"Lawns and turf, Garden beds, Bedding and flowering plants, Vegetables and edible gardens, Trees and shrubs, Container and pot plants, Potting mix base fertiliser",Shrubs,Medium Shrub,,,,40g,,,,,,,,,,,,,,,,,,,,,,,,"Apply every 2–3 months or as required (more in summer, less in winter)",https://www.plantdoctor.com.au/roots-shoots-leaves-granular-fertiliser-16-2-10-np,Different rates for small/medium/large shrubs and trees; adjust to canopy size.,Spread evenly; water in lightly after application.
