sku,catalog_name,guide_name,role_type,form,category,analysis,npk,product_url,pack_sizes,calendar_how_often,calendar_cadence_days,calendar_window,calendar_one_off,calendar_max_per_year,calendar_tank_group,calendar_method,calendar_notes,mix_together,independent,water_in,soil_drench,foliar,fertigation,hydroponic,hose_on,mix_with_iron,usage_frequency_text,usage_rate_text,usage_min_dilution,usage_application_notes,calculator_frequency,calculator_dilution,calculator_rate_100m2,calculator_notes,garden_natives_half_strength,combined_notes,in_catalog,in_calendar,in_usage_guide,in_rates_calculator
WMP,Worm Magic Casting Pellets,Worm Magic Casting Pellets,biology,pellets,Organic slow-release fertiliser; soil conditioner (pelletised worm castings),"~5.05-2-2.11 NPK, 34% carbon, humic, fulvic, microbes",5-2-2,https://www.plantdoctor.com.au/worm-magic-casting-pellets,"10kg, 20kg",Every 3 months on lawns and beds,90,year_round,0,4,granular,spread,Pots every 4–6 weeks.,0,0,1,0,0,0,0,0,0,"Apply during soil preparation, planting or as part of an ongoing soil health program. For pots, apply every 4–6 weeks to maintain soil condition and plant performance.",Varies by application type.,,"Apply evenly around plants, garden beds or lawn areas and water in after application to activate. Can be incorporated into soil, applied as a top dress or placed directly into planting holes for trees and vines.",Every 4–6 weeks or as required,"Do not dilute — broadcast spread or work into the top layer of soil, then water in.",20–40 g / m²,"Distribute evenly across lawn and garden areas and water in thoroughly. Typical home rate 20–40 g/m² (2–4 kg/100 m²). | Spread around plants, shrubs, or garden beds at 20–40 g/m². For pots: 2 tablespoons per 5 L potting mix, worked into the top layer. | Horticulture 250–1000 kg/ha. Apply along the drip line, into the planting hole, or as an even broadcast. | Broadacre and pastures 100–250 kg/ha. Band about 5 cm below the surface at sowing, or broadcast as a top-dress.",0,"Pots every 4–6 weeks. | Apply evenly around plants, garden beds or lawn areas and water in after application to activate. Can be incorporated into soil, applied as a top dress or placed directly into planting holes for trees and vines. | Distribute evenly across lawn and garden areas and water in thoroughly. Typical home rate 20–40 g/m² (2–4 kg/100 m²). | Spread around plants, shrubs, or garden beds at 20–40 g/m². For pots: 2 tablespoons per 5 L potting mix, worked into the top layer. | Horticulture 250–1000 kg/ha. Apply along the drip line, into the planting hole, or as an even broadcast. | Broadacre and pastures 100–250 kg/ha. Band about 5 cm below the surface at sowing, or broadcast as a top-dress.",1,1,1,1
1075,Gypsum Granules (1–2mm Mini Prill),Gypsum Granules 1–2mm Mini Prill,soil_structure,granular,Soil conditioner (calcium sulphate mineral amendment),"19% Ca, 14% S",,https://www.plantdoctor.com.au/gypsum-granules-1-2mm-mini-prill,20kg,Once at the start of the plan (repeat yearly),365,year_round,1,1,granular,spread,"For compacted, clay or sodic soils.",0,0,1,0,0,0,0,0,0,"Apply when soils are compacted, heavy clay, sodic, or calcium deficient. Ideal during soil preparation, before planting, or as part of an ongoing soil improvement program.",100 g per m² (10 kg per 100 m²). Ideally based on soil analysis.,,"Apply evenly across the soil surface and water in after application to assist movement into the soil profile. Suitable for lawns, gardens, landscaping, parks, ovals and agricultural applications.",One-off application or as required based on soil test and soil structure objectives; repeat annually or at soil review intervals.,"Not diluted — broadcast spread evenly and, if possible, lightly irrigate or water in to aid soil penetration.",,"Provides slow-release calcium sulphate to improve soil structure, reduce compaction, and enhance nutrient availability.
Ideal for clay soils, compacted sites, lawns, garden beds, landscapes, and larger soil amelioration projects.
 Best used in conjunction with soil analysis and balanced nutrition plan.",0,"For compacted, clay or sodic soils. | Apply evenly across the soil surface and water in after application to assist movement into the soil profile. Suitable for lawns, gardens, landscaping, parks, ovals and agricultural applications. | Provides slow-release calcium sulphate to improve soil structure, reduce compaction, and enhance nutrient availability.
Ideal for clay soils, compacted sites, lawns, garden beds, landscapes, and larger soil amelioration projects.
 Best used in conjunction with soil analysis and balanced nutrition plan.",1,1,1,1
1156,"Roots, Shoots & Leaves Granular Fertiliser (16-2-10 NPK + T/E)","Roots, Shoots & Leaves - Granular",nutrition,granular,Controlled-release granular fertiliser (mineral + trace elements),"16-2-10 NPK + silica, S, Ca, Mg, traces, zeolite, wetter",16-2-10,https://www.plantdoctor.com.au/roots-shoots-leaves-granular-fertiliser-16-2-10-np,"1kg, 4.5kg, 20kg",Every 3 months,90,year_round,0,4,granular,spread,,0,0,1,0,0,0,0,0,0,Apply every 2–3 months or as required. Apply more frequently during active growing periods and reduce applications during slower winter growth.,Varies by application type.,,"Apply evenly around the plant root zone or across turf areas and water in after application. Suitable for lawns, vegetables, fruit trees, ornamentals, shrubs, natives and potted plants. Can be used with liquid fertilisers and soil conditioners.","Apply every 2–3 months or as required (more in summer, less in winter)",Spread evenly; water in lightly after application.,5.5kg g / 100 m²,"Slow-release fertiliser feeding nitrogen, potassium and trace elements for sustained growth up to several months. Adjust based on turf vigour and soil conditions. | Works as a slow-release base in potting mixes. | Higher rates recommended for dense flowers/foliage. | Different rates for small/medium/large shrubs and trees; adjust to canopy size. | Balanced nutrition supports leafy and fruiting stages.",0,"Apply evenly around the plant root zone or across turf areas and water in after application. Suitable for lawns, vegetables, fruit trees, ornamentals, shrubs, natives and potted plants. Can be used with liquid fertilisers and soil conditioners. | Slow-release fertiliser feeding nitrogen, potassium and trace elements for sustained growth up to several months. Adjust based on turf vigour and soil conditions. | Works as a slow-release base in potting mixes. | Higher rates recommended for dense flowers/foliage. | Different rates for small/medium/large shrubs and trees; adjust to canopy size. | Balanced nutrition supports leafy and fruiting stages.",1,1,1,1
29782,Rescue Remedy Soluble Seaweed (Ascophyllum nodosum) Powder / Flakes,Rescue Remedy,biology,powder,Seaweed biostimulant (organic soluble kelp extract),100% Ascophyllum nodosum; 16–21% K,,https://www.plantdoctor.com.au/rescue-remedy-soluble-seaweed-kelp-powder-flakes-a,"500g, 4.5kg, 20kg",Every 2 weeks in the growing season,14,growing_season,0,16,mixable,spray,"Apply independently. Extra applications during drought, heat, frost or transplant stress.",0,1,1,1,0,1,0,0,0,"Apply fortnightly or as required throughout the growing season. Ideal during drought, heat, frost, transplanting or waterlogging. Apply prior to flowering to support fruit and flower development.",10 g per 10 L water or 10 g per 100 m² for general use. Agricultural rates vary.,,"Dissolve completely in water before application. Suitable for foliar spraying, soil drenching, irrigation and fertigation. May not be compatible with acidic fertilisers such as calcium nitrate, liquid phosphates and sulphate-based trace elements.",Apply fortnightly or as required,"Dissolve fully in water before applying; apply as foliar spray, soil drench, or via irrigation/fertigation",10g g / 100 m²,"Premium Ascophyllum nodosum seaweed bio‑stimulant packed with natural hormones, trace elements, amino acids, and carbohydrates to improve root growth, stress resilience and plant vigour.
Works via foliar spray or irrigation/fertigation and suitable for lawns, gardens, orchard crops and broadacre use.",0,"Apply independently. Extra applications during drought, heat, frost or transplant stress. | Dissolve completely in water before application. Suitable for foliar spraying, soil drenching, irrigation and fertigation. May not be compatible with acidic fertilisers such as calcium nitrate, liquid phosphates and sulphate-based trace elements. | Premium Ascophyllum nodosum seaweed bio‑stimulant packed with natural hormones, trace elements, amino acids, and carbohydrates to improve root growth, stress resilience and plant vigour.
Works via foliar spray or irrigation/fertigation and suitable for lawns, gardens, orchard crops and broadacre use.",1,1,1,1
29800,Quantum H Premium Humic Acid Solution (Liquid Soil Conditioner),Quantum H,uptake,liquid,Liquid humic acid; fulvic acid soil conditioner,Premium liquid potassium humate from leonardite,,https://www.plantdoctor.com.au/quantum-h-premium-humic-acid-solution,"1L, 4L, 10L",Every 2 weeks,14,year_round,0,20,no_iron_mix,spray,Do not tank-mix with iron.,1,0,1,1,1,1,1,0,0,"Apply fortnightly or as required for home gardens. For agricultural applications, apply throughout the growing season or as part of a regular soil health program.",100 mL per 100 m². Agricultural rates vary.,,"Can be applied as a soil drench, foliar-compatible input, fertigation, sprinkler/drip irrigation or mixed with liquid nutrients. Compatible with most fertilisers, pesticides, fungicides and biological inputs. Avoid mixing directly with iron-based products.",Apply fortnightly or as required,"Dilute in water and spray or drench soil; mix well before use, minimum 1:20 dilution with water. Suitable for soil drench, fertigation, sprinkler, or irrigation.",100 mL / 100 m²,"Quantum H is a liquid humic and fulvic acid soil conditioner that improves soil structure, nutrient availability, water retention, and microbial activity.
Not compatible with iron‑based products — apply separately.
Suitable for irrigation systems (sprinkler/drip) with small applications integrated per irrigation.",0,"Do not tank-mix with iron. | Can be applied as a soil drench, foliar-compatible input, fertigation, sprinkler/drip irrigation or mixed with liquid nutrients. Compatible with most fertilisers, pesticides, fungicides and biological inputs. Avoid mixing directly with iron-based products. | Quantum H is a liquid humic and fulvic acid soil conditioner that improves soil structure, nutrient availability, water retention, and microbial activity.
Not compatible with iron‑based products — apply separately.
Suitable for irrigation systems (sprinkler/drip) with small applications integrated per irrigation.",1,1,1,1
29814,Fulvic Acid Powder 92% Premium Concentrated Soluble (Potassium Fulvate),Fulvic Acid Powder >92%,uptake,powder,Organic soil bio-stimulant (fulvic acid chelation + nutrient transport + microbial activation system),">92% fulvic acid, CEC ~1400",,https://www.plantdoctor.com.au/fulvic-acid-powder-92-premium-concentrated-soluble,,Every 3 weeks in the growing season,21,growing_season,0,12,no_iron_mix,spray,"Use at seeding, transplant, flowering or stress. Jar test before mixing. Do not tank-mix with iron.",0,0,0,1,1,1,1,0,0,"Apply throughout the growing season as required. Particularly beneficial during seeding, transplanting, flowering, fruiting, nutrient deficiencies, and periods of plant stress.",Varies by application type.,,"Fully soluble powder suitable for fertigation, foliar sprays, soil drenches and hydroponic systems. Can be combined with fertilisers to improve nutrient efficiency. Always conduct a jar test before mixing with new products, especially selective herbicides. Store sealed and dry.",,,,,0,"Use at seeding, transplant, flowering or stress. Jar test before mixing. Do not tank-mix with iron. | Fully soluble powder suitable for fertigation, foliar sprays, soil drenches and hydroponic systems. Can be combined with fertilisers to improve nutrient efficiency. Always conduct a jar test before mixing with new products, especially selective herbicides. Store sealed and dry.",1,1,1,0
414,Fulvic Acid Liquid Bio-Stimulant,Fulvic Acid Liquid,uptake,liquid,Soil conditioner; nutrient chelator;  biostimulant,High-grade fulvic acid,,https://www.plantdoctor.com.au/fulvic-acid-liquid-a-powerful-bio-stimulant,"1L, 4L, 10L",Weekly or fortnightly as required,14,year_round,0,24,no_iron_mix,spray,Do not tank-mix with iron.,1,0,1,1,1,1,1,0,0,"Apply weekly or fortnightly as required throughout the growing season. Suitable for year-round use across turf, gardens, vegetables, fruit trees, hydroponics and agricultural systems.",Varies by application type.,,"Can be applied through soil, foliar sprays, fertigation or hydroponic systems. Compatible with most fertilisers, soil conditioners and crop inputs; always conduct a jar test before tank mixing.",Weekly or fortnightly as required,180:100,11.6–14.5 mL / 100 m²,"Fulvic acid chelates soil nutrients and improves uptake, root growth and plant stress resistance. Compatible with most fertilisers, soil conditioners, foliar sprays and hydroponic systems; always jar test before mixing. Can be used at any time of the year on all soil types which grow plants; turf, lawns, golf greens, all home garden plants, sandy and clay soils, pot plants, vegetables, and fruit trees.",0,"Do not tank-mix with iron. | Can be applied through soil, foliar sprays, fertigation or hydroponic systems. Compatible with most fertilisers, soil conditioners and crop inputs; always conduct a jar test before tank mixing. | Fulvic acid chelates soil nutrients and improves uptake, root growth and plant stress resistance. Compatible with most fertilisers, soil conditioners, foliar sprays and hydroponic systems; always jar test before mixing. Can be used at any time of the year on all soil types which grow plants; turf, lawns, golf greens, all home garden plants, sandy and clay soils, pot plants, vegetables, and fruit trees.",1,1,1,1
513,"Humate / Humic Acid Granules (45–50% Humic, 2–4mm)",Humate / Humic Acid Granules (45–50%),uptake,granular,Soil conditioner (humic substance / organic carbon amendment),45–50% humic acid from leonardite,,https://www.plantdoctor.com.au/humate-humic-acid-45-50-granules-2-4mm-cert.-organ,"1kg, 4.5kg, 20kg",Every 3 months,90,year_round,0,4,granular,spread,"Spread on the top layer of soil, under mulch, or dug in. Does not need to be watered in.",0,0,0,0,0,0,0,0,0,"Apply every 3 months as part of an ongoing soil improvement program. Ideal before planting, during establishment, after fertiliser application, or whenever soils have poor nutrient availability, low organic carbon or reduced microbial activity.",2–5 kg per 100 m² depending on plant type.,,"Apply evenly by hand or broadcast spreader onto the top layer of soil, under mulch, or dug in. Does not need to be watered in. Suitable for lawns, vegetables, fruit trees, crops, ornamentals and all soil types. Can be applied alongside fertilisers, side dressing, seeding and planting.",Apply approximately every 3 months or as required.,"Do not dilute with water — broadcast spread or side dress into soil, then water in. Use with fertiliser or at planting, pre‑seeding and side dress.",,"Humate granules improve soil structure, chelate nutrients, stimulate microbial activity, and support root growth. Suitable for all soil types and crops; work alongside fertilisers. | For individual pots can apply at roughly one handful per pot. Humate granules improve soil structure, chelate nutrients, stimulate microbial activity, and support root growth. Suitable for all soil types and crops; work alongside fertilisers.",0,"Spread on the top layer of soil, under mulch, or dug in. Does not need to be watered in. | Apply evenly by hand or broadcast spreader onto the top layer of soil, under mulch, or dug in. Does not need to be watered in. Suitable for lawns, vegetables, fruit trees, crops, ornamentals and all soil types. Can be applied alongside fertilisers, side dressing, seeding and planting. | Humate granules improve soil structure, chelate nutrients, stimulate microbial activity, and support root growth. Suitable for all soil types and crops; work alongside fertilisers. | For individual pots can apply at roughly one handful per pot. Humate granules improve soil structure, chelate nutrients, stimulate microbial activity, and support root growth. Suitable for all soil types and crops; work alongside fertilisers.",1,1,1,1
526,Humic Acid 80% Powder (99% Soluble),Humic acid 80% (Humate) Powder - 99% Soluble,uptake,powder,High-concentration soil conditioner (humic substance biostimulant),"80% humic acid, 99% soluble potassium humate",,https://www.plantdoctor.com.au/plant-doctor-humic-acid-80-humate-powder-99-solubl,"1kg, 4.5kg, 25kg",Every 2–4 weeks during active growth,21,growing_season,0,12,no_iron_mix,spray,Jar test before mixing. Do not tank-mix with iron.,0,0,0,1,1,1,0,0,0,"Apply every 2–4 weeks during active growth, or as required when soils have poor nutrient availability, low organic carbon, salt stress or reduced biological activity.",Varies by application type.,,"Pre-mix powder in water before application to ensure complete dissolution. Apply as a soil drench, foliar spray or through fertigation. Can be used alongside fertilisers and biological inputs, but perform a jar test before mixing.",Calculation is assuming typical water volume of 8-10L per 100 m². Apply fortnightly.,"Mix powder fully in water; apply as foliar spray or soil drench, or add to fertigation/irrigation. Ensure complete dissolution before spraying.",8–30 g / m²,"Humic acid improves soil structure, nutrient uptake, microbial activity, and water retention.
Compatible with most fertilisers and crop inputs; always perform a jar test if mixing.
Effective for soil detoxification and enhancing fertiliser performance.",0,"Jar test before mixing. Do not tank-mix with iron. | Pre-mix powder in water before application to ensure complete dissolution. Apply as a soil drench, foliar spray or through fertigation. Can be used alongside fertilisers and biological inputs, but perform a jar test before mixing. | Humic acid improves soil structure, nutrient uptake, microbial activity, and water retention.
Compatible with most fertilisers and crop inputs; always perform a jar test if mixing.
Effective for soil detoxification and enhancing fertiliser performance.",1,1,1,1
547,Kendon Iron Chelate (130g/kg Fe as EDTA complex),Iron Chelate Microgranules,visual,powder,Micronutrient fertiliser (chelated iron source),13% Fe as EDTA chelate (130 g/kg),,https://www.plantdoctor.com.au/kendon-iron-chelate,,Every 4 weeks from spring through autumn,28,growing_season,0,6,iron,spray,Use at the start of growth or when leaves yellow. Preferred on alkaline soils.,0,1,0,1,1,1,0,0,0,"Apply from spring through autumn, especially at the start of active growth or whenever signs of iron deficiency appear, such as yellowing leaves, pale colour or reduced plant vigour.",Varies by application type.,,"Dissolve microgranules fully in water before application. Can be applied as a foliar spray, soil drench, pressure injection or through fertigation. Unlike iron sulphate, it is compatible with most fertilisers, but a jar test is recommended before mixing. Avoid contact with concrete and porous surfaces as staining may occur.",,,,,0,"Use at the start of growth or when leaves yellow. Preferred on alkaline soils. | Dissolve microgranules fully in water before application. Can be applied as a foliar spray, soil drench, pressure injection or through fertigation. Unlike iron sulphate, it is compatible with most fertilisers, but a jar test is recommended before mixing. Avoid contact with concrete and porous surfaces as staining may occur.",1,1,1,0
557,VolcaMin Clinoptilolite Zeolite (Mineral Conditioner),VolcaMin – Premium Clinoptilolite Zeolite,soil_structure,granular,Permanent soil mineral amendment (zeolite / cation exchange enhancer),100% natural clinoptilolite zeolite,,https://www.plantdoctor.com.au/volcamin-clinoptilolite-zeolite,"1kg, 4.5kg, 20kg",Once at the start of the plan (repeat yearly),365,year_round,1,1,granular,spread,Does not break down.,0,0,0,0,0,0,0,0,0,"Apply during soil preparation, planting, turf installation or as an annual soil amendment. Benefits are long-lasting as VolcaMin does not break down over time.",Varies by application type.,,"Incorporate into soil, potting mixes, compost blends or apply around root zones. Can be blended with fertilisers. <1 mm powder: seed coatings, compost, fertigation, liquid suspension. 1–2 mm: potting mixes, gardens, seed raising. 2–4 mm: turf, landscaping, tree planting, drainage.",One‑off or annual soil amendment — long‑lasting soil conditioner (does not break down),"Not diluted — broadcast or blend into soil/soil mix or compost; incorporate into top soil or planting hole, or mix with fertiliser blends (e.g., 25–50 % of fertiliser blend weight)",,"Natural zeolite improves soil structure, nutrient retention, water holding capacity, and reduces leaching.
Works in potting mixes, raised beds, gardens, turf, and broadacre soils.
Can be mixed into fertiliser blends at 25–50 % of blend to enhance nutrient efficiency.",0,"Does not break down. | Incorporate into soil, potting mixes, compost blends or apply around root zones. Can be blended with fertilisers. <1 mm powder: seed coatings, compost, fertigation, liquid suspension. 1–2 mm: potting mixes, gardens, seed raising. 2–4 mm: turf, landscaping, tree planting, drainage. | Natural zeolite improves soil structure, nutrient retention, water holding capacity, and reduces leaching.
Works in potting mixes, raised beds, gardens, turf, and broadacre soils.
Can be mixed into fertiliser blends at 25–50 % of blend to enhance nutrient efficiency.",1,1,1,1
562,,,,Powder,Soil Amendmenet,,,https://www.plantdoctor.com.au/volcamin-clinoptilolite-zeolite-horticulture-agric~562,"1kg, 4.5kg, 20kg",,,,0,,,,,0,0,0,0,0,0,0,0,0,,,,,"One‑off or annual soil amendment — long‑lasting soil conditioner (does not break down). Sprinkle over the lawn, garden, or pot plants by hand or with a granular fertiliser applicator. Work into the soil for best results. Before laying new turf, lay under topsoil.","Not diluted — broadcast or blend into soil/soil mix or compost; incorporate into top soil or planting hole, or mix with fertiliser blends (e.g., 25–50 % of fertiliser blend weight)",25–100 g / m²,"Natural clinoptilolite zeolite enhances soil nutrient retention and water holding capacity, releasing nutrients slowly as plants need them.
Especially beneficial in sandy, hydrophobic, or nutrient‑poor soils and high‑leaching conditions.
Also used in potting mixes, planting holes, and compost blends to boost water/nutrient efficiency; zeolite can also remove odours or improve manure value.",0,"Natural clinoptilolite zeolite enhances soil nutrient retention and water holding capacity, releasing nutrients slowly as plants need them.
Especially beneficial in sandy, hydrophobic, or nutrient‑poor soils and high‑leaching conditions.
Also used in potting mixes, planting holes, and compost blends to boost water/nutrient efficiency; zeolite can also remove odours or improve manure value.",0,0,0,1
567,,,,Powder,Soil Amendmenet,,,https://www.plantdoctor.com.au/volcamin-clinoptilolite-zeolite-horticulture-agric~567,"1kg, 4.5kg, 20kg",,,,0,,,,,0,0,0,0,0,0,0,0,0,,,,,One‑off or annual soil amendment — long‑lasting soil conditioner (does not break down),"Not diluted — broadcast or blend into soil/soil mix or compost; incorporate into top soil or planting hole, or mix with fertiliser blends (e.g., 25–50 % of fertiliser blend weight)",,"Natural zeolite improves soil structure, nutrient retention, water holding capacity, and reduces leaching.
Works in potting mixes, raised beds, gardens, turf, and broadacre soils.
Can be mixed into fertiliser blends at 25–50 % of blend to enhance nutrient efficiency.",0,"Natural zeolite improves soil structure, nutrient retention, water holding capacity, and reduces leaching.
Works in potting mixes, raised beds, gardens, turf, and broadacre soils.
Can be mixed into fertiliser blends at 25–50 % of blend to enhance nutrient efficiency.",0,0,0,1
575,"Flowers, Fruits & Roots Granular Fertiliser (8-2-20 + T/E)","Flowers, Fruits & Roots - Granular",nutrition,granular,Granular fertiliser (slow-release mineral),"8-2-20 NPK + 8.8% S, 6.9% silica, Ca, Mg, traces",8/2/20,https://www.plantdoctor.com.au/flowers-fruits-roots-granular-fertiliser-8-2-20-np,"1kg, 4.5kg, 20kg",Every 3 months,90,year_round,0,4,granular,spread,Garden flower/fruit granular. Not for lawns.,0,0,1,0,0,0,0,0,0,"Apply during active growth, flowering and fruiting periods. Suitable for year-round use where plants require additional potassium and mineral nutrition.",2–5.5 kg per 100 m² depending on plant type.,,"Apply evenly around plants and water in well after application. Suitable for flowers, vegetables, herbs, fruit trees, ornamental plants and lawns. Use caution with phosphorus-sensitive natives such as grevilleas, banksias and proteas.",Once at planting or when growth/fruiting requires feeding; slow‑release over ~4–6 months.,Not a liquid product — broadcast or incorporate into soil/around root zone; lightly water in after application.,70g g / 100 m²,"Application rates vary significantly with plant type; product is designed to support flowering, fruiting and root strength and is not intended for lawn nutrition (other products like MaxGreen or Lawn‑specific fertilisers are recommended for turf). Use caution with phosphorus‑sensitive natives — trial small areas first.",0,"Garden flower/fruit granular. Not for lawns. | Apply evenly around plants and water in well after application. Suitable for flowers, vegetables, herbs, fruit trees, ornamental plants and lawns. Use caution with phosphorus-sensitive natives such as grevilleas, banksias and proteas. | Application rates vary significantly with plant type; product is designed to support flowering, fruiting and root strength and is not intended for lawn nutrition (other products like MaxGreen or Lawn‑specific fertilisers are recommended for turf). Use caution with phosphorus‑sensitive natives — trial small areas first.",1,1,1,1
636,Micronised Gypsum Liquid (Organic Certified Clay Buster – Calcium + Sulphur Soil Conditioner),Micronised Gypsum Liquid,soil_structure,liquid,Soil structure conditioner (calcium + sulphur amendment for clay breakup + sodic soil remediation),"16.5% Ca, 13% S",,https://www.plantdoctor.com.au/Plant-Doctor-Micronised-Gypsum-Liquid-Organic-Certified,,Every 2–4 weeks for clay soils,21,growing_season,0,12,no_iron_mix,spray,"Home garden: 45 mL in 9 L water, apply 1 L/m². Higher rates on heavy clay. Drench or use equipment that can take larger particles. Coarse 500-micron filter. Do not tank-mix with iron. Not for drippers.",0,0,0,1,1,1,0,0,0,"Apply every 2–4 weeks, or as required, to improve clay soils, correct calcium and sulphur deficiencies, and support ongoing soil conditioning. Higher rates for heavy clay soils.","Home garden: 45 mL in 9 L water, apply 1 L/m² (500 mL per 100 m²). Soil ameliorant or fertigation: 10–50 L/ha. Foliar: 1 L per 100 L water, up to 5–7 L/ha depending on crop.",1:3,Shake or stir well before use and keep agitating. Pre-mix slowly. Will pass a 200-micron filter under ideal conditions; a coarse inline filter (500 micron / 35 mesh) is recommended. Drench with a watering can or equipment that can take larger particles. Not suitable for drippers. Foliar use can leave a visible residue on leaves and fruit. Jar test before mixing. Liquid inject minimum dilution 1-part product to 3-parts water. Store cool and keep sealed.,Every 2–4 weeks,Home garden: 45 mL in 9 L water; apply 1 L of mix per m² (500 mL product per 100 m²).,500 mL / 100 m²,Shake or stir well before use and keep agitating. Pre-mix slowly. Coarse inline filter (500 micron / 35 mesh) recommended. Drench with a watering can or equipment that can take larger particles; not for drippers. Foliar use can leave a visible residue. Jar test before mixing. Liquid inject minimum dilution 1:3. | Use higher rates for heavy clay (soil amelioration). Shake or stir well before use and keep agitating. Pre-mix slowly. Coarse inline filter (500 micron / 35 mesh) recommended. Drench with a watering can or equipment that can take larger particles; not for drippers. Foliar use can leave a visible residue. Jar test before mixing. Liquid inject minimum dilution 1:3.,0,"Home garden: 45 mL in 9 L water, apply 1 L/m². Higher rates on heavy clay. Drench or use equipment that can take larger particles. Coarse 500-micron filter. Do not tank-mix with iron. Not for drippers. | Shake or stir well before use and keep agitating. Pre-mix slowly. Will pass a 200-micron filter under ideal conditions; a coarse inline filter (500 micron / 35 mesh) is recommended. Drench with a watering can or equipment that can take larger particles. Not suitable for drippers. Foliar use can leave a visible residue on leaves and fruit. Jar test before mixing. Liquid inject minimum dilution 1-part product to 3-parts water. Store cool and keep sealed. | Shake or stir well before use and keep agitating. Pre-mix slowly. Coarse inline filter (500 micron / 35 mesh) recommended. Drench with a watering can or equipment that can take larger particles; not for drippers. Foliar use can leave a visible residue. Jar test before mixing. Liquid inject minimum dilution 1:3. | Use higher rates for heavy clay (soil amelioration). Shake or stir well before use and keep agitating. Pre-mix slowly. Coarse inline filter (500 micron / 35 mesh) recommended. Drench with a watering can or equipment that can take larger particles; not for drippers. Foliar use can leave a visible residue. Jar test before mixing. Liquid inject minimum dilution 1:3.",1,1,1,1
664,Nature’s Soil Wetter Granular (Plant-Derived Wetting Agent),Nature's Soil Wetter granules,soil_structure,granular,Soil wetter;  soil conditioner (surfactant-based soil hydrology system),Plant-derived surfactants + zeolite + botanical extracts + 70+ traces,,https://www.plantdoctor.com.au/Plant-Doctor-Natures-Soil-Wetter-Natural-GRANULAR-wetting-agent,"1kg, 4.5kg, 20kg",Every 3–6 months on home lawns,120,growing_season,0,3,granular,spread,3–6 months on lawns; 2–3 months on sports turf; 1–2 months on greens. Reapply if water still beads.,0,0,1,0,0,0,0,0,0,"Apply when soils become water repellent, dry, compacted or struggle to absorb moisture. Ideal as part of regular soil maintenance, during dry periods, or when improving soil structure.",Varies by surface type.,,"Apply evenly as a top-dress using a spreader or incorporate into potting mixes and garden beds. Watering after application is recommended to activate the granules, although not essential. Apply under tree drip lines or beneath mulch for fruit trees and natives.",Apply every 1-2 months,No dilution; evenly broadcast on soil or top‑dress under mulch and irrigate light to activate.,,"Improves soil water infiltration, retention and uniform distribution in hydrophobic, compacted or nutrient‑poor soils.
Suitable for lawns, gardens, potting mixes, crops, pastures, fruit trees, natives and landscape soil conditioning.
Can also be used for soil detoxification, microbe stimulation and sodium management.",0,"3–6 months on lawns; 2–3 months on sports turf; 1–2 months on greens. Reapply if water still beads. | Apply evenly as a top-dress using a spreader or incorporate into potting mixes and garden beds. Watering after application is recommended to activate the granules, although not essential. Apply under tree drip lines or beneath mulch for fruit trees and natives. | Improves soil water infiltration, retention and uniform distribution in hydrophobic, compacted or nutrient‑poor soils.
Suitable for lawns, gardens, potting mixes, crops, pastures, fruit trees, natives and landscape soil conditioning.
Can also be used for soil detoxification, microbe stimulation and sodium management.",1,1,1,1
721,"Flowers, Fruits & Roots Liquid Fertiliser (9-7-19 + T/E)","Flowers, Fruits & Roots - Liquid",nutrition,liquid,Liquid fertiliser (high potassium + humic),"9-7-19 NPK + humic, seaweed, traces",9/7/19,https://www.plantdoctor.com.au/flowers-fruits-and-roots-liquid-fertiliser,"1L, 4L, 10L",Every 4 weeks during flowering/fruiting,28,growing_season,0,10,mixable,spray,"Fortnightly on vegetables; every 6–8 weeks on trees, fruit and vines.",1,0,1,1,1,1,0,0,0,"Apply every 4 weeks during flowering/fruiting. Vegetables can be applied fortnightly when actively producing. Trees, fruit and vines can be applied every 6–8 weeks as required.",80–120 mL per 100 m² depending on plant type.,,"Apply evenly to soil or foliage during the cooler parts of the day. Shake well before use. Suitable for flowers, vegetables, fruit trees, herbs, ornamental plants and turf. Use caution with phosphorus-sensitive native plants.",Apply every 4 weeks or as required,Dilute in water sufficiently to spray foliage/soil evenly across area,100–250 mL / 100 m²,"Excellent for flowering garden beds, ornamentals & container plants. | Use throughout active vegetable growth for bloom and fruit set. | Supports flowering and fruit set on larger plants and orchard crops. | Designed for larger scale horticulture and broadacre use (e.g. orchards, vineyards).",0,"Fortnightly on vegetables; every 6–8 weeks on trees, fruit and vines. | Apply evenly to soil or foliage during the cooler parts of the day. Shake well before use. Suitable for flowers, vegetables, fruit trees, herbs, ornamental plants and turf. Use caution with phosphorus-sensitive native plants. | Excellent for flowering garden beds, ornamentals & container plants. | Use throughout active vegetable growth for bloom and fruit set. | Supports flowering and fruit set on larger plants and orchard crops. | Designed for larger scale horticulture and broadacre use (e.g. orchards, vineyards).",1,1,1,1
